No,Id,Provinsi,Kabupaten / Kota,5. Jumlah Pemilih (1+2+3+4+5) (JML),H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden,Jumlah Tidak Memilih dan Suara Tidak Sah,Jumlah Tidak Memilih dan Suara Tidak Sah (%),Pasangan yang Unggul,Selisih Suara,Selisih Suara (%)
124,3516,Jawa Timur,Mojokerto,818059,260355,370265,630620,187439,22.91265055,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-109910,-17.42887952
125,3517,Jawa Timur,Jombang,997681,303115,411112,714227,283454,28.41128577,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-107997,-15.12082293
126,3518,Jawa Timur,Nganjuk,877841,232506,376899,609405,268436,30.57911399,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-144393,-23.69409506
127,3519,Jawa Timur,Madiun,584545,177992,240002,417994,166551,28.49241718,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-62010,-14.83514117
128,3520,Jawa Timur,Magetan,555564,205946,190962,396908,158656,28.55764592,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,14984,3.775182158
129,3521,Jawa Timur,Ngawi,729767,200735,303169,503904,225863,30.95001555,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-102434,-20.32807836
130,3522,Jawa Timur,Bojonegoro,1044363,377277,352307,729584,314779,30.14076523,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,24970,3.4224983
131,3523,Jawa Timur,Tuban,931221,267898,373199,641097,290124,31.15522524,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-105301,-16.42512755
132,3524,Jawa Timur,Lamongan,1086463,368586,342249,710835,375628,34.57347374,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,26337,3.705079238
133,3525,Jawa Timur,Gresik,914823,350955,312496,663451,251372,27.47766508,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,38459,5.796810917
134,3526,Jawa Timur,Bangkalan,963633,644608,149258,793866,169767,17.61739168,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,495350,62.39718038
135,3527,Jawa Timur,Sampang,806340,474752,162785,637537,168803,20.93446933,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,311967,48.93315996
136,3528,Jawa Timur,Pamekasan,682886,378652,135178,513830,169056,24.75610863,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,243474,47.38415429
137,3529,Jawa Timur,Sumenep,898746,332956,245410,578366,320380,35.64744655,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,87546,15.1367819
138,3571,Jawa Timur,Kota Kediri,215045,59461,100492,159953,55092,25.61882397,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-41031,-25.65191025
139,3572,Jawa Timur,Kota Blitar,109655,29349,54599,83948,25707,23.44352743,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-25250,-30.07814361
140,3573,Jawa Timur,Kota Malang,630023,182128,270971,453099,176924,28.08214938,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-88843,-19.60785612
141,3574,Jawa Timur,Kota Probolinggo,167815,69112,58149,127261,40554,24.16589697,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,10963,8.614579486
